Тургиново;22;30.6;0.4;1.8
Томск;133;31.3;0.48;2.4
Ефремов;26;31.4;0.5;3.2
Тула;26;31.2;0.37;1.4
Викулово;131;35;0.43;1.5
Салехард;129;27.3;0.53;1.9
Сургут;130;29.7;0.35;1.1
Тобольск;131;32.5;0.38;0.5
Тюмень;131;33.8;0.51;1.7
Болонь;158;63.2;0.69;4.4
Комсомольск-на-Амуре;157;46.3;0.42;1.2
Николаевск-на-Амуре;157;39.8;0.47;2.4
Советская Гавань;162а;64.9;0.43;2.2
Троицкое;158;47;0.35;1.3
Хабаровск;158;47.3;0.46;3.4
Елабуга Хабаровск;158;49.1;0.35;1.3
Магнитогорск;111;31.1;0.76;6
Троицк;111;30.7;0.59;6
Челябинск;111;31.1;0.37;2.6
Чебоксары;29;31.3;0.55;2.2
Анадырь;-;18.9;0.48;1.6
Верхоянск;150;16.5;0.53;2
Якутск;149;21.7;0.5;1.6
Ростов Великий;24;34.7;0.39;1.6
Рыбинск;24;34.8;0.38;1.4
Углич;24;33.9;0.32;1.2
Ярославль;24;33.6;0.38;1.5
